,Run,LibraryName,LibraryStrategy,LibrarySelection,SampleName,Sample_title,Sample_cell_line,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_cell_description,Sample_platform_id,Sample_instrument_model
86,SRR16195074,GSM5609487,RNA-Seq,cDNA,GSM5609487,Smart-HCT-63,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 063,GPL18573,Illumina NextSeq 500
87,SRR16195073,GSM5609488,RNA-Seq,cDNA,GSM5609488,Smart-HCT-64,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 064,GPL18573,Illumina NextSeq 500
88,SRR16195072,GSM5609489,RNA-Seq,cDNA,GSM5609489,Smart-HCT-65,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 065,GPL18573,Illumina NextSeq 500
89,SRR16195071,GSM5609490,RNA-Seq,cDNA,GSM5609490,Smart-HCT-66,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 066,GPL18573,Illumina NextSeq 500
90,SRR16195070,GSM5609491,RNA-Seq,cDNA,GSM5609491,Smart-HCT-67,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 067,GPL18573,Illumina NextSeq 500
91,SRR16195069,GSM5609492,RNA-Seq,cDNA,GSM5609492,Smart-HCT-68,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 068,GPL18573,Illumina NextSeq 500
92,SRR16195068,GSM5609493,RNA-Seq,cDNA,GSM5609493,Smart-HCT-69,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 069,GPL18573,Illumina NextSeq 500
93,SRR16195067,GSM5609494,RNA-Seq,cDNA,GSM5609494,Smart-HCT-70,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 070,GPL18573,Illumina NextSeq 500
94,SRR16195066,GSM5609495,RNA-Seq,cDNA,GSM5609495,Smart-HCT-71,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 071,GPL18573,Illumina NextSeq 500
95,SRR16195065,GSM5609496,RNA-Seq,cDNA,GSM5609496,Smart-HCT-72,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 072,GPL18573,Illumina NextSeq 500
96,SRR16195064,GSM5609497,RNA-Seq,cDNA,GSM5609497,Smart-HCT-73,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 073,GPL18573,Illumina NextSeq 500
97,SRR16195063,GSM5609498,RNA-Seq,cDNA,GSM5609498,Smart-HCT-74,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 074,GPL18573,Illumina NextSeq 500
